樞紐表練習,,,,,,,,,,
資料來源：,,,,,,,,,,
http://doheth.co.uk/info/countries-of-the-world.php,,,,,,,,,,
Name (English),Location (Continent),Capital city (official),Currency (poss. multiple),Population (inhabitants),Area (km²),Pop. density (inhabitants/km²),GDP (nominal) (millions of USD),Life exp.  (years),Birth rate (births/1000),Death rate (deaths/1000)
Abkhazia,Asia,Sukhumi,Georgian lari;Russian ruble,216000,8600,25,-,-,-,-
Afghanistan,Asia,Kabul,Afghan afghani,29863010,652090,46,7168,42.9,46.6,20.75
Albania,Europe,Tirana,Albanian lek,3129678,28748,109,8379,77.24,15.11,5.12
Algeria,Africa,Algiers,Algerian dinar,32853800,2381741,13,102257,73,17.14,4.6
Andorra,Europe,Andorra la Vella,Euro,67151,468,143,960,83.51,8.71,6.07
Angola,Africa,Luanda,Angolan kwanza,15941390,1246700,12,28038,38.43,45.11,24.5
Antigua and Barbuda,North America,St. John's,East Caribbean dollar,81479,442,184,905,71.9,16.93,5.44
Argentina,South America,Buenos Aires,Argentine peso,38747150,2780400,13,183309,75.91,16.73,7.56
Armenia,Asia,Yerevan,Armenian dram,3016312,29800,101,4903,71.55,12.07,8.16
Australia,Oceana,Canberra,Australian dollar,20155130,7741220,2,700672,81.01,12.14,7.44
Austria,Europe,Vienna,Euro,8189444,83858,98,304527,79.07,8.74,9.7
Azerbaijan,Asia,Baku,Azerbaijani manat,8410801,86600,97,12561,63.35,20.74,9.86
Bahamas,North America,Nassau,Bahamian dollar,323063,13878,23,5502,65.54,17.57,8.97
Bahrain,Asia,Manama,Bahraini dinar,726617,694,1047,12995,74.23,17.8,4.08
Bangladesh,Asia,Dhaka,Bangladeshi taka,141822300,143998,985,59958,62.08,29.8,8.4
Barbados,North America,Bridgetown,Barbadian dollar,269556,430,627,2976,72.59,12.71,8.74
Belarus,Europe,Minsk,Belarusian ruble,9755106,207600,47,29566,68.72,11.16,14.15
Belgium,Europe,Brussels,Euro,10419050,30528,341,364735,78.77,10.38,10.22
Belize,North America,Belmopan,Belize dollar,269736,22966,11,1105,68.44,28.84,5.65
Benin,Africa,Cotonou,West African CFA franc,8438853,112622,75,4287,52.66,38.85,12.49
Bhutan,Asia,Thimphu,Bhutanese ngultrum;Indian rupee,2162546,47000,46,840,54.39,33.65,12.94
Bolivia,South America,La Paz,Bolivian boliviano,9182015,1098581,8,9334,65.5,23.3,7.64
Bosnia and Herzegovina,Europe,Sarajevo,Convertible mark,3907074,51197,76,9369,78,8.77,8.08
Botswana,Africa,Gaborone,Botswana pula,1764926,581730,3,9350,33.87,23.08,29.36
Brazil,South America,Brasília,Brazilian real,186404900,8514877,22,794098,71.69,16.56,6.15
Brunei,Asia,Bandar Seri Begawan,Brunei dollar;Singapore dollar,373819,5765,65,9531,74.8,18.79,3.42
Bulgaria,Europe,Sofia,Bulgarian lev,7725965,110912,70,26648,72.03,9.65,14.26
Burkina Faso,Africa,Ouagadougou,West African CFA franc,13227840,274000,48,5171,48.45,45.62,15.92
Burundi,Africa,Bujumbura,Burundian franc,7547515,27834,271,800,50.29,42.22,13.79
Cambodia,Asia,Phnom Penh,Cambodian riel,14071010,181035,78,5391,58.92,26.9,9.15
Cameroon,Africa,Yaoundé,Central African CFA franc,16321860,475442,34,16985,50.89,33.89,13.63
Canada,North America,Ottawa,Canadian dollar,32268240,9970610,3,1115192,80.22,10.78,7.73
Cape Verde,Africa,Praia,Cape Verdean escudo,506807,4033,126,1024,70.45,24.87,6.62
Central African Republic,Africa,Bangui,Central African CFA franc,4037747,622984,6,1369,43.39,33.91,18.81
Chad,Africa,N'Djamena,Central African CFA franc,9748931,1284000,7,5469,47.18,45.73,16.71
Chile,South America,Valparaíso,Chilean peso,16295100,756096,22,115248,76.58,15.23,5.76
China-People's Republic of,Asia,Beijing,Chinese yuan (renminbi),1315844000,9596961,137,2228862,72.27,13.25,6.94
Colombia,South America,Bogotá,Colombian peso,45600240,1138914,40,122309,71.72,20.48,5.59
Comoros,Africa,Moroni,Comorian franc,797902,2235,357,382,61.96,36.93,8.4
Congo-Democratic Republic of the,Africa,Kinshasa,Congolese franc,57548740,2344858,25,6974,51.1,43.69,13.54
Congo-Republic of the,Africa,Brazzaville,Central African CFA franc,3998904,342000,11,5091,52.26,42.57,13.3
Costa Rica,North America,San José,Costa Rican colón,4327228,51100,85,19432,76.84,18.32,4.33
Croatia,Europe,Zagreb,Croatian kuna,4551338,56538,81,37412,74.45,9.61,11.38
Cuba,North America,Havana,Cuban convertible peso;Cuban peso,11269400,110861,102,19356,77.23,11.89,7.19
Cyprus,Asia,Nicosia,Cypriot pound,264172,3355,78,15418,77.82,12.56,7.64
Czech Republic,Europe,Prague,Czech koruna,10219600,78866,130,122345,76.02,10.4,10.54
Denmark,Europe,Copenhagen,Danish krone,5430590,43094,126,254401,77.79,11.13,10.43
Djibouti,Africa,Djibouti City,Djiboutian franc,793078,23200,34,702,43.1,39.53,19.39
Dominica,North America,Roseau,East Caribbean dollar,78940,751,105,279,74.65,15.27,6.81
Dominican Republic,North America,Santo Domingo,Dominican peso,8894907,48671,183,28303,71.44,23.22,5.73
Ecuador,South America,Quito,United States dollar,13228420,283561,47,36244,76.21,22.29,4.24
Egypt,Africa,Cairo,Egyptian pound,74032880,1001449,74,89336,71,22.94,5.26
El Salvador,North America,San Salvador,Salvadoran colón;United States Dollar,6880951,21041,327,16974,71.22,26.61,5.85
Equatorial Guinea,Africa,Malabo,Central African CFA franc,503519,28051,18,3231,49.7,35.59,15.04
Eritrea,Africa,Asmara,Eritrean nakfa,4401357,117600,37,986,58.47,34.33,9.87
Estonia,Europe,Tallinn,Estonian kroon,1329697,45100,29,13107,71.77,10.04,13.21
Ethiopia,Africa,Addis Ababa,Ethiopian birr,77430700,1104300,70,11174,48.83,37.98,15.06
Fiji,Oceana,Suva,Fijian dollar,847706,18274,46,2810,69.53,22.55,5.65
Finland,Europe,Helsinki,Euro,5249060,338145,15,193176,78.5,10.45,9.79
France,Europe,Paris,Euro,60495540,551500,110,2110185,79.73,11.99,9.08
Gabon,Africa,Libreville,Central African CFA franc,1383841,267668,5,8055,55.02,36.16,12.03
Gambia,Africa,Banjul,Gambian dalasi,1517079,11295,134,461,53.75,39.37,12.52
Georgia,Asia,Tbilisi,Georgian lari,4474404,69700,64,6395,75.88,10.41,9.09
Germany,Europe,Berlin,Euro,82689210,357022,232,2781900,78.8,8.25,10.55
Ghana,Africa,Accra,Ghanaian cedi,22112810,238533,93,10695,58.47,30.52,9.91
Greece,Europe,Athens,Euro,11119890,131957,84,213698,79.24,9.68,10.15
Grenada,North America,St. George's,East Caribbean dollar,102924,344,260,454,64.53,22.08,7.17
Guatemala,North America,Guatemala City,Guatemalan quetzal,12599060,108889,116,31683,69.06,29.88,5.3
Guinea,Africa,Conakry,Guinean franc,9402098,245857,38,2689,49.36,41.76,15.63
Guinea-Bissau,Africa,Bissau,West African CFA franc,1586344,36125,44,301,46.61,37.22,16.73
Guyana,South America,Georgetown,Guyanese dollar,751218,214969,3,783,65.5,18.28,8.32
Haiti,North America,Port-au-Prince,Haitian gourde,8527777,27750,307,4245,52.92,36.44,12.34
Honduras,North America,Tegucigalpa,Honduran lempira,7204723,112088,64,7976,69.3,28.24,5.25
Hungary,Europe,Budapest,Hungarian forint,10097730,93032,109,109154,72.4,9.72,13.19
Iceland,Europe,Reykjavík,Icelandic króna,294561,103000,2,15036,80.31,13.64,6.68
India,Asia,New Delhi,Indian rupee,1103371000,3287263,336,785468,64.35,22.01,8.28
Indonesia,Asia,Jakarta,Indonesian rupiah,222781500,1904569,117,287217,69.57,20.34,6.25
Iran,Asia,Tehran,Iranian rial,69515210,1648195,42,196343,69.96,17,5.55
Iraq,Asia,Baghdad,Iraqi dinar,28807190,438317,66,12602,68.7,31.98,5.49
Ireland,Europe,Dublin,Euro,4147901,70273,59,196388,77.56,14.45,7.85
Israel,Asia,Jerusalem,Israeli new sheqel,6724564,22145,304,123434,79.46,17.97,6.18
Italy,Europe,Rome,Euro,58092740,301318,193,1723044,79.81,8.72,10.3
Ivory Coast,Africa,Abidjan,West African CFA franc,18153870,322463,56,16055,48.62,35.11,14.94
Jamaica,North America,Kingston,Jamaican dollar,2650713,10991,241,9696,73.33,20.82,6.47
Japan,Asia,Tokyo,Japanese yen,128084700,377873,339,4505912,81.25,9.37,8.95
Jordan,Asia,Amman,Jordanian dinar,5702776,89342,64,12861,78.4,21.25,2.63
Kazakhstan,Asia,Astana,Kazakhstani tenge,14825110,2724900,5,56088,66.55,16,9.46
Kenya,Africa,Nairobi,Kenyan shilling,34255720,580367,59,17977,47.99,39.72,14.65
Kiribati,Oceana,South Tarawa,Australian dollar;Kiribati dollar,99350,726,137,76,61.71,30.65,8.37
Korea-North,Asia,Pyongyang,North Korean won,22487660,120538,187,5997,71.37,15.54,7.05
Korea-South,Asia,Seoul,South Korean won,48846823,99538,480,787624,76.85,10,5.72
Kuwait,Asia,Kuwait City,Kuwaiti dinar,2686873,17818,151,74658,77.03,21.94,2.42
Kyrgyzstan,Asia,Bishkek,Kyrgyzstani som,5263794,199900,26,2441,68.16,22.8,7.13
Laos,Asia,Vientiane,Lao kip,5924145,236800,25,2855,55.08,35.49,11.83
Latvia,Europe,Riga,Latvian lats,2306988,64600,36,15771,71.05,9.24,13.7
Lebanon,Asia,Beirut,Lebanese lira,3576818,10400,344,22210,72.63,18.52,6.24
Lesotho,Africa,Maseru,Lesotho loti;South African rand,1794769,30355,59,1453,34.47,24.75,28.67
Liberia,Africa,Monrovia,Liberian dollar,3283267,111369,29,548,38.89,44.77,23.93
Libya,Africa,Tripoli,Libyan dinar,5853452,1759540,3,38756,76.5,26.49,3.48
Liechtenstein,Europe,Vaduz,Swiss franc,34521,160,216,1315,79.68,10.21,7.06
Lithuania,Europe,Vilnius,Lithuanian litas,3431033,65300,53,25495,73.97,8.75,10.92
Luxembourg,Europe,Luxembourg City,Euro,464904,2586,180,33779,78.89,11.94,8.41
Macedonia-Former Yugoslavia Republic of,Europe,Skopje,Macedonian denar,2034060,25713,79,5762,73.73,12.02,8.73
Madagascar,Africa,Antananarivo,Malagasy ariary,18605920,587041,32,5040,56.95,41.41,11.35
Malawi,Africa,Lilongwe,Malawian kwacha,12883940,118484,109,2072,41.43,43.13,19.63
Malaysia,Asia,Putrajaya,Malaysian ringgit,25347370,329847,77,130143,72.24,22.86,5.06
Maldives,Asia,Malé,Maldivian rufiyaa,329198,298,1105,817,64.06,34.81,7.24
Mali,Africa,Bamako,West African CFA franc,13518420,1240192,10,5098,48.64,49.82,17.23
Malta,Europe,Valletta,Maltese lira,401630,316,1271,5570,79.01,10.22,8
Marshall Islands,Oceana,Majuro,United States dollar,61963,181,342,144,70.01,33.05,4.88
Mauritania,Africa,Nouakchott,Mauritanian ouguiya,3068742,1025520,3,1888,52.73,40.99,12.44
Mauritius,Africa,Port Louis,Mauritian rupee,1244663,2040,610,6447,72.38,15.43,6.83
Mexico,North America,Mexico City,Mexican peso,107029400,1958201,55,768438,75.19,20.69,4.73
Micronesia-Federated States of,Oceana,Palikir,Micronesian dollar;United States dollar,110487,702,157,232,69.75,24.68,4.87
Moldova,Europe,Chisinau,Moldovan leu,4205747,33851,124,2906,65.18,15.7,12.79
Monaco,Europe,Monaco,Euro,35253,1,23660,847,79.69,9.19,12.71
Mongolia,Asia,Ulaanbaatar,Mongolian tugrug,2646487,1564116,1,1880,64.52,21.59,7.03
Montenegro,Europe,Podgorica,Euro,630548,14026,45,27059,74.73,12.6,9.2
Morocco,Africa,Rabat,Moroccan dirham,31478460,446550,70,51745,70.66,21.98,5.64
Mozambique,Africa,Maputo,Mozambican metical,19792300,801590,25,6630,40.32,35.18,20.99
Myanmar (Burma),Asia,Naypyidaw,Myanmar kyat,50519490,676578,75,12151,60.7,17.91,9.85
Nagorno-Karabakh,Asia,Khankendi,Armenian dram;Nagorno-Karabakh dram,145000,4400,33,-,-,-,-
Namibia,Africa,Windhoek,Namibian dollar;South African rand,2031252,824292,2,6126,43.93,24.32,18.36
Nauru,Oceana,None,Australian dollar;Nauruan dollar,13635,21,649,368,62.73,24.76,6.82
Nepal,Asia,Kathmandu,Nepalese rupee,27132630,147181,184,7346,59.8,30.98,9.47
Netherlands-The,Europe,Amsterdam,Euro,16299170,41528,392,594755,78.96,10.9,8.68
New Zealand,Oceana,Wellington,New Zealand dollar,4028384,270534,14,109041,78.81,13.76,7.53
Nicaragua,North America,Managua,Nicaraguan córdoba,5486685,130000,42,4911,70.33,24.51,4.49
Niger,Africa,Niamey,West African CFA franc,13956980,1267000,11,3405,43.5,50.73,21.19
Nigeria,Africa,Abuja,Nigerian naira,131529700,923768,142,98951,46.74,40.43,17.18
Norway,Europe,Oslo,Norwegian krone,4620275,385155,12,283920,79.54,11.46,9.45
Oman,Asia,Muscat,Omani rial,2566981,309500,8,24284,73.13,36.24,3.86
Pakistan,Europe,Islamabad,Pakistani rupee,157935100,796095,198,110732,63,29.74,8.45
Palau,Oceana,Melekeok,Palauan dollar;United States dollar,19949,459,43,145,70.14,18.03,6.85
Panama,North America,Panama City,Panamanian balboa;United States dollar,3231502,75517,43,15467,75.25,21.74,5.28
Papua New Guinea,Oceana,Port Moresby,Papua New Guinean kina,5887138,462840,12,4731,64.93,29.36,7.37
Paraguay,South America,Asunción,Paraguayan guaraní,6158259,406752,15,8152,74.89,29.1,4.53
Peru,South America,Lima,Peruvian nuevo sol,27968240,1285216,22,78431,69.53,20.48,6.26
Philippines,Asia,Manila,Philippine peso,83054480,300000,277,98306,69.91,24.89,5.47
Poland,Europe,Warsaw,Polish zloty,38529560,312685,123,299151,74.74,9.85,9.84
Portugal,Europe,Lisbon,Euro,10494500,91982,114,173085,77.53,10.72,10.43
Qatar,Asia,Doha,Qatari riyal,812842,11000,74,28451,73.67,15.56,4.61
Romania,Europe,Bucharest,Romanian leu,21711470,238391,91,98559,71.35,10.7,11.74
Russia,Asia,Moscow,Russian ruble,143201600,17098242,8,763720,67.1,9.95,14.52
Rwanda,Africa,Kigali,Rwandan franc,9037690,26338,343,2131,46.96,40.37,16.32
Saint Kitts and Nevis,North America,Basseterre,East Caribbean dollar,42696,261,164,453,72.15,18.02,8.47
Saint Lucia,North America,Castries,East Caribbean dollar,160765,539,298,825,73.61,19.68,5.12
Saint Vincent and the Grenadines,North America,Kingstown,East Caribbean dollar,119051,388,307,428,73.62,16.18,6
Samoa,Oceana,Apia,Samoan tala,184984,2831,65,399,70.72,16.43,6.54
San Marino,Europe,San Marino,Euro,28117,61,461,478,81.71,10.02,8.07
São Tomé and Príncipe,Africa,São Tomé,São Tomé and Príncipe dobra,156523,964,162,57,66.99,40.25,6.68
Saudi Arabia,Asia,Riyadh,Saudi riyal,24573100,2149690,11,309778,75.46,29.34,2.62
Senegal,Africa,Dakar,West African CFA franc,11658170,196722,59,8318,58.9,32.78,9.59
Serbia,Europe,Belgrade,Serbian dinar,9396411,88361,106,24058,74.73,-,-
Seychelles,Africa,Victoria,Seychellois rupee,80654,455,177,694,71.82,16.03,6.34
Sierra Leone,Africa,Freetown,Sierra Leonean leone,5525478,71740,77,1193,39.87,45.76,23.43
Singapore,Asia,Singapore,Brunei dollar;Singapore dollar,4483900,699,6208,116764,81.71,9.34,4.16
Slovakia,Europe,Bratislava,Slovak koruna,5400908,49033,110,46412,74.5,10.65,9.43
Slovenia,Europe,Ljubljana,Euro,1966814,20256,97,34030,76.14,8.98,10.22
Solomon Islands,Oceana,Honiara,Solomon Islands dollar,477742,28896,16,286,72.66,30.01,3.98
Somalia,Africa,Mogadishu,Somali shilling,8227826,637657,12,1132,48.09,45.13,16.97
Somaliland,Africa,Hargeisa,Somaliland shilling,3500000,137600,25,-,-,-,-
South Africa,Africa,Bloemfontein,South African rand,47431830,1221037,39,240152,43.27,18.2,21.32
South Ossetia,Asia,Tskhinvali,Georgian lari;Russian ruble,70000,3900,18,-,-,-,-
Spain,Europe,Madrid,Euro,43064190,505992,85,1123691,79.65,10.06,9.63
Sri Lanka,Asia,Kotte,Sri Lankan rupee,20742910,65610,316,23479,73.17,15.51,6.49
Sudan,Africa,Khartoum,New Sudanese pound;Sudanese dinar,36232950,2505813,14,27699,58.54,34.53,9.16
Suriname,South America,Paramaribo,Surinamese dollar,449238,163820,2,1342,68.96,18.02,7.16
Swaziland,Africa,Lobamba,Swazi lilangeni,1032438,17364,59,2731,33.22,27.41,28.82
Sweden,Europe,Stockholm,Swedish krona,9041262,449964,20,354115,80.51,10.27,10.36
Switzerland,Europe,Bern,Swiss franc,7252331,41284,176,365937,80.51,9.71,8.48
Syria,Asia,Damascus,Syrian pound,19043380,185180,103,26320,70.03,27.76,4.88
Taiwan (Republic of China),Asia,Taipei,New Taiwan dollar,22894384,35980,636,346178,77.26,12.56,6.38
Tajikistan,Asia,Dushanbe,Tajikistani somoni,6506980,143100,45,2326,64.56,32.65,8.39
Tanzania,Africa,Dar es Salaam,Tanzanian shilling,38328810,945087,41,12111,45.24,37.71,16.71
Thailand,Asia,Bangkok,Thai baht,64232760,513115,125,176602,71.95,13.87,6.98
Togo,Africa,Lomé,West African CFA franc,6145004,56785,108,2203,57.01,37.01,10.01
Tonga,Africa,Nuku'alofa,Tongan pa?anga,102311,747,137,244,69.53,25.37,5.35
Transnistria,Europe,Tiraspol,Transnistrian ruble,555347,4163,133,518,-,-,-
Trinidad and Tobago,North America,Port of Spain,Trinidad and Tobago dollar,1305236,5130,254,14762,66.73,12.9,10.36
Tunisia,Africa,Tunis,Tunisian dinar,10102470,163610,62,28683,74.89,15.52,5.09
Turkey,Europe,Ankara,Turkish new lira,73192840,783562,93,363300,72.36,16.62,5.96
Turkish Republic of Northern Cyprus,Asia,Nicosia,Turkish new lira,264172,3355,79,2000,-,-,-
Turkmenistan,Asia,Ashgabat,Turkmenistani manat,4833266,488100,9,6774,61.39,27.61,8.78
Tuvalu,Oceana,Funafuti,Australian dollar;Tuvaluan dollar,10441,26,402,9,68.01,22.18,7.22
Uganda,Africa,Kampala,Ugandan shilling,28816230,241038,120,8712,51.59,47.35,12.8
Ukraine,Europe,Kyiv,Ukrainian hryvnia,46480700,603700,77,81664,69.68,8.82,14.43
United Arab Emirates,Europe,Abu Dhabi,United Arab Emirates dirham,4495823,83600,54,104204,75.24,18.96,4.26
United Kingdom,Europe,London,British pound,59667840,242900,246,2192553,78.54,10.78,10.18
United States,North America,Washington-D.C.,United States dollar,298212900,9629091,31,12455068,77.85,14.14,8.25
Uruguay,South America,Montevideo,Uruguayan peso,3463197,175016,19,16792,76.13,13.91,9.06
Uzbekistan,Asia,Tashkent,Uzbekistani som,26593120,447400,59,13667,64.19,26.36,7.95
Vanuatu,Oceana,Port Vila,Vanuatu vatu,211367,12189,17,341,62.49,22.72,7.9
Vatican City,Europe,Vatican City,Euro,783,-,1780,19,-,-,-
Venezuela,South America,Caracas,Venezuelan bolívar,26749110,912050,29,138857,74.31,18.71,4.9
Vietnam,Asia,Hanoi,Vietnamese d?ng,84238230,331689,254,52408,70.61,16.86,6.2
Yemen,Asia,Sanaá,Yemeni rial,20974660,527968,40,14452,61.75,42.89,8.53
Zambia,Africa,Lusaka,Zambian kwacha,11668460,752618,15,7257,39.7,41,20.23
Zimbabwe,Africa,Harare,Zimbabwean dollar,13009530,390757,33,3364,37.82,28.01,21.92
