code,continent,Entity,Year,type,source,value
AFG,Asia,Afghanistan,2020,fossil,coal,0.0
ALB,Europe,Albania,2020,fossil,coal,0.0
DZA,Africa,Algeria,2020,fossil,coal,0.0
ASM,Oceania,American Samoa,2020,fossil,coal,0.0
AGO,Africa,Angola,2020,fossil,coal,0.0
ATG,North America,Antigua and Barbuda,2020,fossil,coal,0.0
ARG,South America,Argentina,2020,fossil,coal,2.53
ARM,Asia,Armenia,2020,fossil,coal,0.0
ABW,North America,Aruba,2020,fossil,coal,0.0
AUS,Oceania,Australia,2020,fossil,coal,130.94
AUT,Europe,Austria,2020,fossil,coal,0.56
AZE,Asia,Azerbaijan,2020,fossil,coal,0.0
BHS,North America,Bahamas,2020,fossil,coal,0.0
BHR,Asia,Bahrain,2020,fossil,coal,0.0
BGD,Asia,Bangladesh,2020,fossil,coal,5.86
BRB,North America,Barbados,2020,fossil,coal,0.0
BLR,Europe,Belarus,2020,fossil,coal,0.0
BEL,Europe,Belgium,2020,fossil,coal,0.08
BLZ,North America,Belize,2020,fossil,coal,0.0
BEN,Africa,Benin,2020,fossil,coal,0.0
BTN,Asia,Bhutan,2020,fossil,coal,0.0
BOL,South America,Bolivia,2020,fossil,coal,0.0
BIH,Europe,Bosnia and Herzegovina,2020,fossil,coal,10.7
BWA,Africa,Botswana,2020,fossil,coal,1.68
BRA,South America,Brazil,2020,fossil,coal,21.05
VGB,North America,British Virgin Islands,2020,fossil,coal,0.0
BDI,Africa,Brunei,2020,fossil,coal,2.3
BGR,Europe,Bulgaria,2020,fossil,coal,13.51
BFA,Africa,Burkina Faso,2020,fossil,coal,0.0
BDI,Africa,Burundi,2020,fossil,coal,0.0
KHM,Asia,Cambodia,2020,fossil,coal,3.41
CMR,Africa,Cameroon,2020,fossil,coal,0.0
CAN,North America,Canada,2020,fossil,coal,33.7
CPV,Africa,Cape Verde,2020,fossil,coal,0.0
CYM,North America,Cayman Islands,2020,fossil,coal,0.0
CAF,Africa,Central African Republic,2020,fossil,coal,0.0
TCD,Africa,Chad,2020,fossil,coal,0.0
CHL,South America,Chile,2020,fossil,coal,16.09
CHN,Asia,China,2020,fossil,coal,4917.72
COL,South America,Colombia,2020,fossil,coal,6.53
COM,Africa,Comoros,2020,fossil,coal,0.0
COG,Africa,Congo,2020,fossil,coal,0.0
COK,Oceania,Cook Islands,2020,fossil,coal,0.0
CRI,North America,Costa Rica,2020,fossil,coal,0.0
CIV,Africa,Cote d'Ivoire,2020,fossil,coal,0.0
HRV,Europe,Croatia,2020,fossil,coal,1.22
CUB,North America,Cuba,2020,fossil,coal,0.0
CYP,Asia,Cyprus,2020,fossil,coal,0.0
CZE,Europe,Czechia,2020,fossil,coal,31.0
COD,Africa,Democratic Republic of Congo,2020,fossil,coal,0.0
DNK,Europe,Denmark,2020,fossil,coal,3.06
DJI,Africa,Djibouti,2020,fossil,coal,0.0
DMA,North America,Dominica,2020,fossil,coal,0.0
DOM,North America,Dominican Republic,2020,fossil,coal,5.04
ZAF,Africa,Eastern Africa,2020,fossil,coal,
ECU,South America,Ecuador,2020,fossil,coal,0.0
EGY,Africa,Egypt,2020,fossil,coal,0.0
SLV,North America,El Salvador,2020,fossil,coal,0.0
GNQ,Africa,Equatorial Guinea,2020,fossil,coal,0.0
ERI,Africa,Eritrea,2020,fossil,coal,0.0
EST,Europe,Estonia,2020,fossil,coal,0.0
SWZ,Africa,Eswatini,2020,fossil,coal,0.0
ETH,Africa,Ethiopia,2020,fossil,coal,0.0
FRO,Europe,Faroe Islands,2020,fossil,coal,0.0
FLK,South America,Falkland Islands,2020,fossil,coal,0.0
FJI,Oceania,Fiji,2020,fossil,coal,0.0
FIN,Europe,Finland,2020,fossil,coal,2.44
FRA,Europe,France,2020,fossil,coal,3.09
GUF,South America,French Guiana,2020,fossil,coal,0.0
PYF,Oceania,French Polynesia,2020,fossil,coal,0.0
GAB,Africa,Gabon,2020,fossil,coal,0.0
GMB,Africa,Gambia,2020,fossil,coal,0.0
GEO,Asia,Georgia,2020,fossil,coal,0.0
DEU,Europe,Germany,2020,fossil,coal,133.58
GHA,Africa,Ghana,2020,fossil,coal,0.0
GRC,Europe,Greece,2020,fossil,coal,6.61
GRL,North America,Greenland,2020,fossil,coal,0.0
GRD,North America,Grenada,2020,fossil,coal,0.0
GLP,North America,Guadeloupe,2020,fossil,coal,1.09
GUM,Oceania,Guam,2020,fossil,coal,0.0
GTM,North America,Guatemala,2020,fossil,coal,1.86
GIN,Africa,Guinea,2020,fossil,coal,0.0
GNB,Africa,Guinea-Bissau,2020,fossil,coal,0.0
GUY,South America,Guyana,2020,fossil,coal,0.0
HTI,North America,Haiti,2020,fossil,coal,0.0
HND,North America,Honduras,2020,fossil,coal,0.44
HKG,Asia,Hong Kong,2020,fossil,coal,19.57
HUN,Europe,Hungary,2020,fossil,coal,3.71
ISL,Europe,Iceland,2020,fossil,coal,0.0
IND,Asia,India,2020,fossil,coal,1125.22
IDN,Asia,Indonesia,2020,fossil,coal,180.87
IRN,Asia,Iran,2020,fossil,coal,0.6
IRQ,Asia,Iraq,2020,fossil,coal,0.0
IRL,Europe,Ireland,2020,fossil,coal,0.67
ISR,Asia,Israel,2020,fossil,coal,19.74
ITA,Europe,Italy,2020,fossil,coal,13.38
JAM,North America,Jamaica,2020,fossil,coal,0.0
JPN,Asia,Japan,2020,fossil,coal,286.83
JOR,Asia,Jordan,2020,fossil,coal,0.0
KAZ,Asia,Kazakhstan,2020,fossil,coal,72.96
KEN,Africa,Kenya,2020,fossil,coal,0.0
KIR,Oceania,Kiribati,2020,fossil,coal,0.0
XXK,Europe,Kosovo,2020,fossil,coal,6.33
KWT,Asia,Kuwait,2020,fossil,coal,0.0
KGZ,Asia,Kyrgyzstan,2020,fossil,coal,1.08
LAO,Asia,Laos,2020,fossil,coal,10.51
LVA,Europe,Latvia,2020,fossil,coal,0.0
LBN,Asia,Lebanon,2020,fossil,coal,0.0
LSO,Africa,Lesotho,2020,fossil,coal,0.0
LBR,Africa,Liberia,2020,fossil,coal,0.0
LBY,Africa,Libya,2020,fossil,coal,0.0
LTU,Europe,Lithuania,2020,fossil,coal,0.0
LUX,Europe,Luxembourg,2020,fossil,coal,0.0
MAC,Asia,Macao,2020,fossil,coal,0.0
MDG,Africa,Madagascar,2020,fossil,coal,0.21
MWI,Africa,Malawi,2020,fossil,coal,0.0
MYS,Asia,Malaysia,2020,fossil,coal,70.14
MDV,Asia,Maldives,2020,fossil,coal,0.0
MLI,Africa,Mali,2020,fossil,coal,0.0
MLT,Europe,Malta,2020,fossil,coal,0.0
MTQ,North America,Martinique,2020,fossil,coal,0.0
MRT,Africa,Mauritania,2020,fossil,coal,0.0
MUS,Africa,Mauritius,2020,fossil,coal,0.66
MEX,North America,Mexico,2020,fossil,coal,18.19
MDA,Europe,Moldova,2020,fossil,coal,3.28
MNG,Asia,Mongolia,2020,fossil,coal,6.02
MNE,Europe,Montenegro,2020,fossil,coal,1.62
MSR,North America,Montserrat,2020,fossil,coal,0.0
MAR,Africa,Morocco,2020,fossil,coal,21.95
MOZ,Africa,Mozambique,2020,fossil,coal,0.0
MMR,Asia,Myanmar,2020,fossil,coal,0.89
NAM,Africa,Namibia,2020,fossil,coal,0.03
NRU,Oceania,Nauru,2020,fossil,coal,0.0
NPL,Asia,Nepal,2020,fossil,coal,0.0
NLD,Europe,Netherlands,2020,fossil,coal,7.61
NCL,Oceania,New Caledonia,2020,fossil,coal,0.0
NZL,Oceania,New Zealand,2020,fossil,coal,2.42
NIC,North America,Nicaragua,2020,fossil,coal,0.0
NER,Africa,Niger,2020,fossil,coal,0.0
NGA,Africa,Nigeria,2020,fossil,coal,0.54
PRK,Asia,North Korea,2020,fossil,coal,2.41
MKD,Europe,North Macedonia,2020,fossil,coal,2.63
NOR,Europe,Norway,2020,fossil,coal,0.04
OMN,Asia,Oman,2020,fossil,coal,0.0
PAK,Asia,Pakistan,2020,fossil,coal,18.25
PSE,Asia,Palestine,2020,fossil,coal,0.0
PAN,North America,Panama,2020,fossil,coal,0.98
PNG,Oceania,Papua New Guinea,2020,fossil,coal,0.0
PRY,South America,Paraguay,2020,fossil,coal,0.0
PER,South America,Peru,2020,fossil,coal,0.34
PHL,Asia,Philippines,2020,fossil,coal,44.9
POL,Europe,Poland,2020,fossil,coal,107.4
PRT,Europe,Portugal,2020,fossil,coal,2.36
PRI,North America,Puerto Rico,2020,fossil,coal,0.0
QAT,Asia,Qatar,2020,fossil,coal,0.0
ROU,Europe,Romania,2020,fossil,coal,9.36
RUS,Europe,Russia,2020,fossil,coal,143.83
RWA,Africa,Rwanda,2020,fossil,coal,0.0
KNA,North America,Saint Kitts and Nevis,2020,fossil,coal,0.0
LCA,North America,Saint Lucia,2020,fossil,coal,0.0
SPM,North America,Saint Pierre and Miquelon,2020,fossil,coal,0.0
VCT,North America,Saint Vincent and the Grenadines,2020,fossil,coal,0.0
WSM,Oceania,Samoa,2020,fossil,coal,0.0
STP,Africa,Sao Tome and Principe,2020,fossil,coal,0.0
SAU,Asia,Saudi Arabia,2020,fossil,coal,0.0
SEN,Africa,Senegal,2020,fossil,coal,0.12
SRB,Europe,Serbia,2020,fossil,coal,26.46
SYC,Africa,Seychelles,2020,fossil,coal,0.0
SLE,Africa,Sierra Leone,2020,fossil,coal,0.0
SGP,Asia,Singapore,2020,fossil,coal,0.0
SVK,Europe,Slovakia,2020,fossil,coal,1.86
SVN,Europe,Slovenia,2020,fossil,coal,4.36
SLB,Oceania,Solomon Islands,2020,fossil,coal,0.0
SOM,Africa,Somalia,2020,fossil,coal,0.0
ZAF,Africa,South Africa,2020,fossil,coal,194.44
KOR,Asia,South Korea,2020,fossil,coal,197.72
SSD,Africa,South Sudan,2020,fossil,coal,0.0
ESP,Europe,Spain,2020,fossil,coal,5.52
LKA,Asia,Sri Lanka,2020,fossil,coal,4.17
SDN,Africa,Sudan,2020,fossil,coal,0.0
SUR,South America,Suriname,2020,fossil,coal,0.0
SWE,Europe,Sweden,2020,fossil,coal,0.0
CHE,Europe,Switzerland,2020,fossil,coal,0.0
SYR,Asia,Syria,2020,fossil,coal,0.09
TWN,Asia,Taiwan,2020,fossil,coal,127.03
TJK,Asia,Tajikistan,2020,fossil,coal,0.41
TZA,Africa,Tanzania,2020,fossil,coal,0.0
THA,Asia,Thailand,2020,fossil,coal,36.61
TGO,Africa,Togo,2020,fossil,coal,0.0
TON,Oceania,Tonga,2020,fossil,coal,0.0
TTO,North America,Trinidad and Tobago,2020,fossil,coal,0.0
TUN,Africa,Tunisia,2020,fossil,coal,0.0
TUR,Asia,Turkey,2020,fossil,coal,104.02
TKM,Asia,Turkmenistan,2020,fossil,coal,0.0
TCA,North America,Turks and Caicos Islands,2020,fossil,coal,0.0
UGA,Africa,Uganda,2020,fossil,coal,0.0
UKR,Europe,Ukraine,2020,fossil,coal,38.63
ARE,Asia,United Arab Emirates,2020,fossil,coal,0.0
GBR,Europe,United Kingdom,2020,fossil,coal,5.32
USA,North America,United States,2020,fossil,coal,773.39
VIR,North America,United States Virgin Islands,2020,fossil,coal,0.0
URY,South America,Uruguay,2020,fossil,coal,0.0
UZB,Asia,Uzbekistan,2020,fossil,coal,10.22
VUT,Oceania,Vanuatu,2020,fossil,coal,0.0
VEN,South America,Venezuela,2020,fossil,coal,0.0
VNM,Asia,Vietnam,2020,fossil,coal,115.74
YEM,Asia,Yemen,2020,fossil,coal,0.0
ZMB,Africa,Zambia,2020,fossil,coal,1.27
ZWE,Africa,Zimbabwe,2020,fossil,coal,3.62
AFG,Asia,Afghanistan,2020,fossil,oil,0.18
ALB,Europe,Albania,2020,fossil,oil,0.0
DZA,Africa,Algeria,2020,fossil,oil,0.0
ASM,Oceania,American Samoa,2020,fossil,oil,0.16
AGO,Africa,Angola,2020,fossil,oil,0.68
ATG,North America,Antigua and Barbuda,2020,fossil,oil,0.33
ARG,South America,Argentina,2020,fossil,oil,7.62
ARM,Asia,Armenia,2020,fossil,oil,0.0
ABW,North America,Aruba,2020,fossil,oil,0.77
AUS,Oceania,Australia,2020,fossil,oil,4.13
AUT,Europe,Austria,2020,fossil,oil,3.26
AZE,Asia,Azerbaijan,2020,fossil,oil,8.54
BHS,North America,Bahamas,2020,fossil,oil,2.1
BHR,Asia,Bahrain,2020,fossil,oil,0.03
BGD,Asia,Bangladesh,2020,fossil,oil,16.13
BRB,North America,Barbados,2020,fossil,oil,0.98
BLR,Europe,Belarus,2020,fossil,oil,0.0
BEL,Europe,Belgium,2020,fossil,oil,3.14
BLZ,North America,Belize,2020,fossil,oil,0.37
BEN,Africa,Benin,2020,fossil,oil,0.22
BTN,Asia,Bhutan,2020,fossil,oil,0.0
BOL,South America,Bolivia,2020,fossil,oil,0.0
BIH,Europe,Bosnia and Herzegovina,2020,fossil,oil,0.11
BWA,Africa,Botswana,2020,fossil,oil,0.37
BRA,South America,Brazil,2020,fossil,oil,6.91
VGB,North America,British Virgin Islands,2020,fossil,oil,0.14
BDI,Africa,Brunei,2020,fossil,oil,0.13
BGR,Europe,Bulgaria,2020,fossil,oil,0.32
BFA,Africa,Burkina Faso,2020,fossil,oil,1.56
BDI,Africa,Burundi,2020,fossil,oil,0.08
KHM,Asia,Cambodia,2020,fossil,oil,0.53
CMR,Africa,Cameroon,2020,fossil,oil,3.04
CAN,North America,Canada,2020,fossil,oil,3.13
CPV,Africa,Cape Verde,2020,fossil,oil,0.38
CYM,North America,Cayman Islands,2020,fossil,oil,0.68
CAF,Africa,Central African Republic,2020,fossil,oil,0.0
TCD,Africa,Chad,2020,fossil,oil,0.29
CHL,South America,Chile,2020,fossil,oil,12.41
CHN,Asia,China,2020,fossil,oil,11.42
COL,South America,Colombia,2020,fossil,oil,0.75
COM,Africa,Comoros,2020,fossil,oil,0.1
COG,Africa,Congo,2020,fossil,oil,0.43
COK,Oceania,Cook Islands,2020,fossil,oil,0.03
CRI,North America,Costa Rica,2020,fossil,oil,0.14
CIV,Africa,Cote d'Ivoire,2020,fossil,oil,2.05
HRV,Europe,Croatia,2020,fossil,oil,0.03
CUB,North America,Cuba,2020,fossil,oil,15.03
CYP,Asia,Cyprus,2020,fossil,oil,4.25
CZE,Europe,Czechia,2020,fossil,oil,1.85
COD,Africa,Democratic Republic of Congo,2020,fossil,oil,0.03
DNK,Europe,Denmark,2020,fossil,oil,1.04
DJI,Africa,Djibouti,2020,fossil,oil,0.06
DMA,North America,Dominica,2020,fossil,oil,0.07
DOM,North America,Dominican Republic,2020,fossil,oil,6.17
ZAF,Africa,Eastern Africa,2020,fossil,oil,
ECU,South America,Ecuador,2020,fossil,oil,3.97
EGY,Africa,Egypt,2020,fossil,oil,23.26
SLV,North America,El Salvador,2020,fossil,oil,0.95
GNQ,Africa,Equatorial Guinea,2020,fossil,oil,1.01
ERI,Africa,Eritrea,2020,fossil,oil,0.43
EST,Europe,Estonia,2020,fossil,oil,3.08
SWZ,Africa,Eswatini,2020,fossil,oil,0.04
ETH,Africa,Ethiopia,2020,fossil,oil,0.01
FRO,Europe,Faroe Islands,2020,fossil,oil,0.22
FLK,South America,Falkland Islands,2020,fossil,oil,0.01
FJI,Oceania,Fiji,2020,fossil,oil,0.39
FIN,Europe,Finland,2020,fossil,oil,3.39
FRA,Europe,France,2020,fossil,oil,9.78
GUF,South America,French Guiana,2020,fossil,oil,0.5
PYF,Oceania,French Polynesia,2020,fossil,oil,0.46
GAB,Africa,Gabon,2020,fossil,oil,1.25
GMB,Africa,Gambia,2020,fossil,oil,0.3
GEO,Asia,Georgia,2020,fossil,oil,0.0
DEU,Europe,Germany,2020,fossil,oil,21.04
GHA,Africa,Ghana,2020,fossil,oil,2.99
GRC,Europe,Greece,2020,fossil,oil,4.77
GRL,North America,Greenland,2020,fossil,oil,0.1
GRD,North America,Grenada,2020,fossil,oil,0.21
GLP,North America,Guadeloupe,2020,fossil,oil,0.0
GUM,Oceania,Guam,2020,fossil,oil,1.7
GTM,North America,Guatemala,2020,fossil,oil,1.82
GIN,Africa,Guinea,2020,fossil,oil,0.75
GNB,Africa,Guinea-Bissau,2020,fossil,oil,0.08
GUY,South America,Guyana,2020,fossil,oil,1.0
HTI,North America,Haiti,2020,fossil,oil,0.85
HND,North America,Honduras,2020,fossil,oil,4.19
HKG,Asia,Hong Kong,2020,fossil,oil,0.0
HUN,Europe,Hungary,2020,fossil,oil,0.4
ISL,Europe,Iceland,2020,fossil,oil,0.0
IND,Asia,India,2020,fossil,oil,4.86
IDN,Asia,Indonesia,2020,fossil,oil,6.76
IRN,Asia,Iran,2020,fossil,oil,73.04
IRQ,Asia,Iraq,2020,fossil,oil,16.07
IRL,Europe,Ireland,2020,fossil,oil,1.61
ISR,Asia,Israel,2020,fossil,oil,0.0
ITA,Europe,Italy,2020,fossil,oil,14.09
JAM,North America,Jamaica,2020,fossil,oil,2.36
JPN,Asia,Japan,2020,fossil,oil,39.92
JOR,Asia,Jordan,2020,fossil,oil,1.64
KAZ,Asia,Kazakhstan,2020,fossil,oil,0.0
KEN,Africa,Kenya,2020,fossil,oil,0.75
KIR,Oceania,Kiribati,2020,fossil,oil,0.03
XXK,Europe,Kosovo,2020,fossil,oil,0.01
KWT,Asia,Kuwait,2020,fossil,oil,0.0
KGZ,Asia,Kyrgyzstan,2020,fossil,oil,0.06
LAO,Asia,Laos,2020,fossil,oil,0.0
LVA,Europe,Latvia,2020,fossil,oil,0.0
LBN,Asia,Lebanon,2020,fossil,oil,7.94
LSO,Africa,Lesotho,2020,fossil,oil,0.0
LBR,Africa,Liberia,2020,fossil,oil,0.31
LBY,Africa,Libya,2020,fossil,oil,9.45
LTU,Europe,Lithuania,2020,fossil,oil,0.26
LUX,Europe,Luxembourg,2020,fossil,oil,0.07
MAC,Asia,Macao,2020,fossil,oil,0.0
MDG,Africa,Madagascar,2020,fossil,oil,0.89
MWI,Africa,Malawi,2020,fossil,oil,0.21
MYS,Asia,Malaysia,2020,fossil,oil,0.98
MDV,Asia,Maldives,2020,fossil,oil,0.61
MLI,Africa,Mali,2020,fossil,oil,2.15
MLT,Europe,Malta,2020,fossil,oil,0.06
MTQ,North America,Martinique,2020,fossil,oil,1.46
MRT,Africa,Mauritania,2020,fossil,oil,1.36
MUS,Africa,Mauritius,2020,fossil,oil,1.48
MEX,North America,Mexico,2020,fossil,oil,32.36
MDA,Europe,Moldova,2020,fossil,oil,0.0
MNG,Asia,Mongolia,2020,fossil,oil,0.0
MNE,Europe,Montenegro,2020,fossil,oil,0.0
MSR,North America,Montserrat,2020,fossil,oil,0.02
MAR,Africa,Morocco,2020,fossil,oil,4.01
MOZ,Africa,Mozambique,2020,fossil,oil,1.23
MMR,Asia,Myanmar,2020,fossil,oil,3.28
NAM,Africa,Namibia,2020,fossil,oil,0.01
NRU,Oceania,Nauru,2020,fossil,oil,0.03
NPL,Asia,Nepal,2020,fossil,oil,0.0
NLD,Europe,Netherlands,2020,fossil,oil,5.69
NCL,Oceania,New Caledonia,2020,fossil,oil,2.6
NZL,Oceania,New Zealand,2020,fossil,oil,0.75
NIC,North America,Nicaragua,2020,fossil,oil,2.16
NER,Africa,Niger,2020,fossil,oil,0.56
NGA,Africa,Nigeria,2020,fossil,oil,0.04
PRK,Asia,North Korea,2020,fossil,oil,0.0
MKD,Europe,North Macedonia,2020,fossil,oil,0.09
NOR,Europe,Norway,2020,fossil,oil,0.55
OMN,Asia,Oman,2020,fossil,oil,0.0
PAK,Asia,Pakistan,2020,fossil,oil,12.09
PSE,Asia,Palestine,2020,fossil,oil,0.43
PAN,North America,Panama,2020,fossil,oil,2.26
PNG,Oceania,Papua New Guinea,2020,fossil,oil,3.16
PRY,South America,Paraguay,2020,fossil,oil,0.0
PER,South America,Peru,2020,fossil,oil,8.16
PHL,Asia,Philippines,2020,fossil,oil,17.91
POL,Europe,Poland,2020,fossil,oil,4.22
PRT,Europe,Portugal,2020,fossil,oil,1.47
PRI,North America,Puerto Rico,2020,fossil,oil,16.8
QAT,Asia,Qatar,2020,fossil,oil,0.0
ROU,Europe,Romania,2020,fossil,oil,0.72
RUS,Europe,Russia,2020,fossil,oil,10.14
RWA,Africa,Rwanda,2020,fossil,oil,0.55
KNA,North America,Saint Kitts and Nevis,2020,fossil,oil,0.21
LCA,North America,Saint Lucia,2020,fossil,oil,0.35
SPM,North America,Saint Pierre and Miquelon,2020,fossil,oil,0.05
VCT,North America,Saint Vincent and the Grenadines,2020,fossil,oil,0.12
WSM,Oceania,Samoa,2020,fossil,oil,0.09
STP,Africa,Sao Tome and Principe,2020,fossil,oil,0.08
SAU,Asia,Saudi Arabia,2020,fossil,oil,132.84
SEN,Africa,Senegal,2020,fossil,oil,2.74
SRB,Europe,Serbia,2020,fossil,oil,0.05
SYC,Africa,Seychelles,2020,fossil,oil,0.49
SLE,Africa,Sierra Leone,2020,fossil,oil,0.02
SGP,Asia,Singapore,2020,fossil,oil,1.5
SVK,Europe,Slovakia,2020,fossil,oil,0.79
SVN,Europe,Slovenia,2020,fossil,oil,0.02
SLB,Oceania,Solomon Islands,2020,fossil,oil,0.1
SOM,Africa,Somalia,2020,fossil,oil,0.33
ZAF,Africa,South Africa,2020,fossil,oil,1.37
KOR,Asia,South Korea,2020,fossil,oil,6.67
SSD,Africa,South Sudan,2020,fossil,oil,0.55
ESP,Europe,Spain,2020,fossil,oil,12.38
LKA,Asia,Sri Lanka,2020,fossil,oil,5.94
SDN,Africa,Sudan,2020,fossil,oil,2.88
SUR,South America,Suriname,2020,fossil,oil,0.99
SWE,Europe,Sweden,2020,fossil,oil,2.34
CHE,Europe,Switzerland,2020,fossil,oil,3.49
SYR,Asia,Syria,2020,fossil,oil,5.4
TWN,Asia,Taiwan,2020,fossil,oil,4.28
TJK,Asia,Tajikistan,2020,fossil,oil,0.61
TZA,Africa,Tanzania,2020,fossil,oil,2.46
THA,Asia,Thailand,2020,fossil,oil,0.72
TGO,Africa,Togo,2020,fossil,oil,0.45
TON,Oceania,Tonga,2020,fossil,oil,0.06
TTO,North America,Trinidad and Tobago,2020,fossil,oil,1.27
TUN,Africa,Tunisia,2020,fossil,oil,0.0
TUR,Asia,Turkey,2020,fossil,oil,2.13
TKM,Asia,Turkmenistan,2020,fossil,oil,5.48
TCA,North America,Turks and Caicos Islands,2020,fossil,oil,0.24
UGA,Africa,Uganda,2020,fossil,oil,0.29
